average_cost,bear_2022_max_drawdown,bear_2022_roi,buy_window_count,calmar,cash,cash_idle_ratio,cnn_fear_threshold,cnn_greed_threshold,composite_score,cost_improvement,deep_buy_window_days,diagnostic_2000_2010_max_drawdown,diagnostic_2000_2010_roi,divergence_weeks,excess_return,lag_days,lag_robustness,main_2011_2019_max_drawdown,main_2011_2019_roi,max_drawdown,overheat_ratio,pause_window_count,pause_window_days,recent_2023_present_max_drawdown,recent_2023_present_roi,repair_ma_days,roi,run_id,sentiment_lookback_days,shares,shock_2020_max_drawdown,shock_2020_roi,sma_buffer_pct,sma_period,stage,standard_buy_window_days,strategy_family,sweet_spot,terminal_value,total_invested,vol_high_pctile
5737.742587148967,-0.33555533569955975,25.843364324673818,2515,0.3235859181093353,100.0,0.0007794377666674454,20,70,95.5,-0.022363211322120154,20,0.0,0.0,2,-0.152746538041165,2,1.0,-0.21554559131416073,1.1964827145137575,-0.33785371131782804,1.15,60,15,-0.2272711062631102,20.792701867211733,50,3.784744505900731,run_00009_v2_full_coarse_180_0p03_1p15_0p75_20_70_1260_50_2_2_10_20_15,1260,66.1235658863045,-0.27608050906519255,28.52728879597892,0.03,180,coarse,10,v2_full,False,1815332.0655387375,379400.0,0.75
5739.536105252011,-0.3355532352702335,25.840059844149962,2775,0.323507964390428,0.0,0.0005626908113136942,20,75,86.5,-0.022682784202838018,20,0.0,0.0,2,-0.15450518993189988,2,1.0,-0.21562968775494062,1.2019708971523957,-0.33785157516478037,1.15,60,15,-0.22727071656535136,20.76430613425412,10,3.782985854009996,run_00010_v2_full_coarse_180_0p03_1p15_0p75_20_75_504_10_2_2_10_20_15,504,66.12032628433774,-0.2756898772500449,27.452312046622957,0.03,180,coarse,10,v2_full,False,1815143.1315967937,379500.0,0.75
5740.655535985405,-0.33554427033989964,25.825965298660883,2535,0.32348640328633665,100.0,0.0006940775285939202,20,70,76.0,-0.022882246758374785,20,0.0,0.0,2,-0.1551743005285644,2,1.0,-0.21554121425207085,1.1893267967578671,-0.337842297258908,1.15,60,15,-0.22726994195386707,20.781644327143074,50,3.7823167434133316,run_00006_v2_full_coarse_180_0p03_1p15_0p75_20_70_756_50_2_2_10_20_15,756,66.09001317388304,-0.2765910346320759,29.288106533762274,0.03,180,coarse,10,v2_full,False,1814410.972451018,379400.0,0.75
5740.520452752977,-0.3355503492671208,25.83552083796303,2715,0.323475577590596,0.0,0.0006020994796668801,20,70,70.0,-0.022858177339922653,20,0.0,0.0,2,-0.15532534556261268,2,1.0,-0.21562919784944068,1.2045196756367527,-0.33784642520993313,1.15,105,15,-0.22727035893420577,20.760574131114367,10,3.7821656983792833,run_00001_v2_full_coarse_180_0p03_1p15_0p75_20_70_504_10_2_2_10_20_15,504,66.10898839634018,-0.2760794415264627,27.17823298049702,0.03,180,coarse,10,v2_full,False,1814831.8825349382,379500.0,0.75
5740.7193639200395,-0.3355541821192166,25.841549361264267,2565,0.3234623383040266,0.0,0.0007822362834152755,20,70,59.5,-0.022893619755896766,20,0.0,0.0,2,-0.1554910436397785,2,1.0,-0.21562842050650466,1.192958419845862,-0.3378523777179031,1.15,75,15,-0.2272705071562171,20.759820145259635,20,3.7820000003021175,run_00008_v2_full_coarse_180_0p03_1p15_0p75_20_70_1260_20_2_2_10_20_15,1260,66.10669777469477,-0.2754310499300665,29.872918706123958,0.03,180,coarse,10,v2_full,False,1814769.0001146535,379500.0,0.75
5741.019191767771,-0.33554891608842863,25.83326737336683,2720,0.3234561007646045,0.0,0.0005617750300200085,20,70,50.5,-0.022947043721262043,20,0.0,0.0,2,-0.1557407861889759,2,1.0,-0.21563233669799997,1.190117812245198,-0.3378470220700319,1.15,105,15,-0.2272701958054778,20.758683726825335,10,3.78175025775292,run_00004_v2_full_coarse_180_0p03_1p15_0p75_20_70_756_10_2_2_10_20_15,756,66.10324531647221,-0.2765923760090031,28.870749482412567,0.03,180,coarse,10,v2_full,False,1814674.222817233,379500.0,0.75
5741.249099619139,-0.3355485610509015,25.832709189042365,2701,0.3234475784692178,0.0,0.0006089564203461777,20,70,41.5,-0.02298800919255368,20,0.0,0.0,2,-0.15593227098757367,2,1.0,-0.21563271329051548,1.1901775525573681,-0.3378468214461775,1.15,120,15,-0.22727015539438677,20.757812402112293,10,3.7815587729543223,run_00007_v2_full_coarse_180_0p03_1p15_0p75_20_70_1260_10_2_2_10_20_15,1260,66.10059821741146,-0.27659247727547476,29.545198975413324,0.03,180,coarse,10,v2_full,False,1814601.5543361653,379500.0,0.75
5741.839337929649,-0.3355405354157499,25.820097812744493,2545,0.32344714011323883,100.0,0.0008635979832588406,20,70,31.0,-0.023093179113548436,20,0.0,0.0,2,-0.1561602222003815,2,1.0,-0.21553827215649524,1.2036899499450615,-0.3378364430907004,1.15,120,15,-0.22726945626885597,20.77715382675547,50,3.7813308217415145,run_00003_v2_full_coarse_180_0p03_1p15_0p75_20_70_504_50_2_2_10_20_15,504,66.07638731612461,-0.276077851422475,29.535627768907574,0.03,180,coarse,10,v2_full,False,1814036.9137687306,379400.0,0.75
5741.652854915916,-0.33554889640619734,25.833236428649222,2615,0.32343240523572336,0.0,0.0006800381305769114,20,70,25.0,-0.02305995117244057,20,0.0,0.0,2,-0.15626851208925885,2,1.0,-0.2156220350042517,1.191976772539054,-0.33784668595262635,1.15,45,15,-0.2272700071695879,20.756282384149593,20,3.781222531852637,run_00005_v2_full_coarse_180_0p03_1p15_0p75_20_70_756_20_2_2_10_20_15,756,66.09594999723431,-0.2754288699940015,29.859712287626362,0.03,180,coarse,10,v2_full,False,1814473.950838076,379500.0,0.75
5743.043605736885,-0.33553338230653107,25.30242739314358,2660,0.32339753721045783,0.0,0.000660108282460575,20,70,14.5,-0.023307758119838286,20,0.0,0.0,2,-0.15742634574296233,2,1.0,-0.2156246650645336,1.2037985702637326,-0.33782805430031515,1.15,45,15,-0.22726945414769018,20.751013824538312,20,3.7800646981989336,run_00002_v2_full_coarse_180_0p03_1p15_0p75_20_70_504_20_2_2_10_20_15,504,66.07994402496038,-0.2760780596524606,28.4480132417586,0.03,180,coarse,10,v2_full,False,1814034.5529664953,379500.0,0.75
