date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2022-04-14,1.0000,1.0000,,封闭期,封闭期
2022-04-15,0.9998,0.9998,-0.02%,封闭期,封闭期
2022-04-20,1.0026,1.0026,,封闭期,封闭期
2022-04-21,0.9880,0.9880,-1.46%,开放申购,开放赎回
2022-04-22,0.9672,0.9672,-2.11%,开放申购,开放赎回
2022-04-25,0.9894,0.9894,2.30%,开放申购,开放赎回
2022-04-26,0.9540,0.9540,-3.58%,开放申购,开放赎回
2022-04-27,0.9541,0.9541,0.01%,开放申购,开放赎回
2022-04-28,0.9897,0.9897,3.73%,开放申购,开放赎回
2022-04-29,0.9458,0.9458,-4.44%,开放申购,开放赎回
2022-05-05,0.9488,0.9488,0.32%,开放申购,开放赎回
2022-05-06,0.9461,0.9461,-0.28%,开放申购,开放赎回
2022-05-09,0.9172,0.9172,-3.05%,开放申购,开放赎回
2022-05-10,0.9275,0.9275,1.12%,开放申购,开放赎回
2022-05-11,0.9014,0.9014,-2.81%,开放申购,开放赎回
2022-05-12,0.9064,0.9064,0.55%,开放申购,开放赎回
2022-05-13,0.9374,0.9374,3.42%,开放申购,开放赎回
2022-05-16,0.9298,0.9298,-0.81%,开放申购,开放赎回
2022-05-17,0.9459,0.9459,1.73%,限制大额申购,开放赎回
2022-05-18,0.9003,0.9003,-4.82%,限制大额申购,开放赎回
2022-05-19,0.8979,0.8979,-0.27%,限制大额申购,开放赎回
2022-05-20,0.8842,0.8842,-1.53%,限制大额申购,开放赎回
2022-05-23,0.8974,0.8974,1.49%,限制大额申购,开放赎回
2022-05-24,0.8785,0.8785,-2.11%,限制大额申购,开放赎回
2022-05-25,0.8911,0.8911,1.43%,限制大额申购,开放赎回
2022-05-26,0.9225,0.9225,3.52%,限制大额申购,开放赎回
2022-05-27,0.9510,0.9510,3.09%,限制大额申购,开放赎回
2022-05-30,0.9421,0.9421,-0.94%,暂停申购,暂停赎回
2022-05-31,0.9394,0.9394,-0.29%,限制大额申购,开放赎回
2022-06-01,0.9365,0.9365,-0.31%,限制大额申购,开放赎回
2022-06-02,0.9593,0.9593,2.43%,限制大额申购,开放赎回
2022-06-06,0.9347,0.9347,-2.56%,限制大额申购,开放赎回
2022-06-07,0.9450,0.9450,1.10%,限制大额申购,开放赎回
2022-06-08,0.9398,0.9398,-0.55%,限制大额申购,开放赎回
2022-06-09,0.9165,0.9165,-2.48%,限制大额申购,开放赎回
2022-06-10,0.8856,0.8856,-3.37%,限制大额申购,开放赎回
2022-06-13,0.8521,0.8521,-3.78%,限制大额申购,开放赎回
2022-06-14,0.8534,0.8534,0.15%,限制大额申购,开放赎回
2022-06-15,0.8717,0.8717,2.14%,限制大额申购,开放赎回
2022-06-16,0.8370,0.8370,-3.98%,限制大额申购,开放赎回
2022-06-17,0.8454,0.8454,1.00%,限制大额申购,开放赎回
2022-06-20,0.8438,0.8438,-0.19%,暂停申购,暂停赎回
2022-06-21,0.8650,0.8650,2.51%,限制大额申购,开放赎回
2022-06-22,0.8662,0.8662,0.14%,限制大额申购,开放赎回
2022-06-23,0.8771,0.8771,1.26%,限制大额申购,开放赎回
2022-06-24,0.9047,0.9047,3.15%,限制大额申购,开放赎回
2022-06-27,0.8966,0.8966,-0.90%,限制大额申购,开放赎回
2022-06-28,0.8704,0.8704,-2.92%,限制大额申购,开放赎回
2022-06-29,0.8733,0.8733,0.33%,限制大额申购,开放赎回
2022-06-30,0.8616,0.8616,-1.34%,限制大额申购,开放赎回
2022-07-01,0.8682,0.8682,0.77%,限制大额申购,开放赎回
2022-07-04,0.8676,0.8676,-0.07%,暂停申购,暂停赎回
2022-07-05,0.8816,0.8816,1.61%,限制大额申购,开放赎回
2022-07-06,0.8876,0.8876,0.68%,限制大额申购,开放赎回
2022-07-07,0.9061,0.9061,2.08%,限制大额申购,开放赎回
2022-07-08,0.9068,0.9068,0.08%,限制大额申购,开放赎回
2022-07-11,0.8881,0.8881,-2.06%,限制大额申购,开放赎回
2022-07-12,0.8825,0.8825,-0.63%,限制大额申购,开放赎回
2022-07-13,0.8795,0.8795,-0.34%,限制大额申购,开放赎回
2022-07-14,0.8842,0.8842,0.53%,限制大额申购,开放赎回
2022-07-15,0.9022,0.9022,2.04%,限制大额申购,开放赎回
2022-07-18,0.8919,0.8919,-1.14%,限制大额申购,开放赎回
2022-07-19,0.9185,0.9185,2.98%,限制大额申购,开放赎回
2022-07-20,0.9330,0.9330,1.58%,限制大额申购,开放赎回
2022-07-21,0.9471,0.9471,1.51%,限制大额申购,开放赎回
2022-07-22,0.9315,0.9315,-1.65%,限制大额申购,开放赎回
2022-07-25,0.9249,0.9249,-0.71%,限制大额申购,开放赎回
2022-07-26,0.9079,0.9079,-1.84%,限制大额申购,开放赎回
2022-07-27,0.9445,0.9445,4.03%,限制大额申购,开放赎回
2022-07-28,0.9509,0.9509,0.68%,限制大额申购,开放赎回
2022-07-29,0.9653,0.9653,1.51%,限制大额申购,开放赎回
2022-08-01,0.9677,0.9677,0.25%,限制大额申购,开放赎回
2022-08-02,0.9660,0.9660,-0.18%,限制大额申购,开放赎回
2022-08-03,0.9899,0.9899,2.47%,限制大额申购,开放赎回
2022-08-04,0.9942,0.9942,0.43%,限制大额申购,开放赎回
2022-08-05,0.9860,0.9860,-0.82%,限制大额申购,开放赎回
2022-08-08,0.9839,0.9839,-0.21%,限制大额申购,开放赎回
2022-08-09,0.9729,0.9729,-1.12%,限制大额申购,开放赎回
2022-08-10,0.9994,0.9994,2.72%,限制大额申购,开放赎回
2022-08-11,0.9907,0.9907,-0.87%,限制大额申购,开放赎回
2022-08-12,1.0097,1.0097,1.92%,限制大额申购,开放赎回
2022-08-15,1.0213,1.0213,1.15%,限制大额申购,开放赎回
2022-08-16,1.0221,1.0221,0.08%,限制大额申购,开放赎回
2022-08-17,1.0088,1.0088,-1.30%,限制大额申购,开放赎回
2022-08-18,1.0136,1.0136,0.48%,限制大额申购,开放赎回
2022-08-19,0.9973,0.9973,-1.61%,限制大额申购,开放赎回
2022-08-22,0.9750,0.9750,-2.24%,限制大额申购,开放赎回
2022-08-23,0.9774,0.9774,0.25%,限制大额申购,开放赎回
2022-08-24,0.9805,0.9805,0.32%,限制大额申购,开放赎回
2022-08-25,0.9952,0.9952,1.50%,限制大额申购,开放赎回
2022-08-26,0.9576,0.9576,-3.78%,限制大额申购,开放赎回
2022-08-29,0.9565,0.9565,-0.11%,限制大额申购,开放赎回
2022-08-30,0.9453,0.9453,-1.17%,限制大额申购,开放赎回
2022-08-31,0.9376,0.9376,-0.81%,限制大额申购,开放赎回
2022-09-01,0.9392,0.9392,0.17%,限制大额申购,开放赎回
2022-09-02,0.9261,0.9261,-1.39%,限制大额申购,开放赎回
2022-09-05,0.9311,0.9311,0.54%,暂停申购,暂停赎回
2022-09-06,0.9248,0.9248,-0.68%,限制大额申购,开放赎回
2022-09-07,0.9459,0.9459,2.28%,限制大额申购,开放赎回
2022-09-08,0.9499,0.9499,0.42%,限制大额申购,开放赎回
2022-09-09,0.9640,0.9640,1.48%,限制大额申购,开放赎回
2022-09-13,0.9237,0.9237,-4.18%,限制大额申购,开放赎回
2022-09-14,0.9362,0.9362,1.35%,限制大额申购,开放赎回
2022-09-15,0.9219,0.9219,-1.53%,限制大额申购,开放赎回
2022-09-16,0.9227,0.9227,0.09%,限制大额申购,开放赎回
2022-09-19,0.9293,0.9293,0.72%,限制大额申购,开放赎回
2022-09-20,0.9207,0.9207,-0.93%,限制大额申购,开放赎回
2022-09-21,0.9101,0.9101,-1.15%,限制大额申购,开放赎回
2022-09-22,0.9047,0.9047,-0.59%,限制大额申购,开放赎回
2022-09-23,0.8922,0.8922,-1.38%,限制大额申购,开放赎回
2022-09-26,0.8932,0.8932,0.11%,限制大额申购,开放赎回
2022-09-27,0.8943,0.8943,0.12%,限制大额申购,开放赎回
2022-09-28,0.9213,0.9213,3.02%,限制大额申购,开放赎回
2022-09-29,0.8924,0.8924,-3.14%,限制大额申购,开放赎回
2022-09-30,0.8651,0.8651,-3.06%,限制大额申购,开放赎回
2022-10-10,0.8664,0.8664,0.15%,限制大额申购,开放赎回
2022-10-11,0.8612,0.8612,-0.60%,限制大额申购,开放赎回
2022-10-12,0.8591,0.8591,-0.24%,限制大额申购,开放赎回
2022-10-13,0.8799,0.8799,2.42%,限制大额申购,开放赎回
2022-10-14,0.8529,0.8529,-3.07%,限制大额申购,开放赎回
2022-10-17,0.8829,0.8829,3.52%,限制大额申购,开放赎回
2022-10-18,0.8879,0.8879,0.57%,限制大额申购,开放赎回
2022-10-19,0.8874,0.8874,-0.06%,限制大额申购,开放赎回
2022-10-20,0.8848,0.8848,-0.29%,限制大额申购,开放赎回
2022-10-21,0.9066,0.9066,2.46%,限制大额申购,开放赎回
2022-10-24,0.9169,0.9169,1.14%,限制大额申购,开放赎回
2022-10-25,0.9411,0.9411,2.64%,限制大额申购,开放赎回
2022-10-26,0.9102,0.9102,-3.28%,限制大额申购,开放赎回
2022-10-27,0.8958,0.8958,-1.58%,限制大额申购,开放赎回
2022-10-28,0.9245,0.9245,3.20%,限制大额申购,开放赎回
2022-10-31,0.9191,0.9191,-0.58%,限制大额申购,开放赎回
2022-11-01,0.9079,0.9079,-1.22%,限制大额申购,开放赎回
2022-11-02,0.8790,0.8790,-3.18%,限制大额申购,开放赎回
2022-11-03,0.8666,0.8666,-1.41%,限制大额申购,开放赎回
2022-11-04,0.8742,0.8742,0.88%,限制大额申购,开放赎回
2022-11-07,0.8814,0.8814,0.82%,限制大额申购,开放赎回
2022-11-08,0.8887,0.8887,0.83%,限制大额申购,开放赎回
2022-11-09,0.8677,0.8677,-2.36%,限制大额申购,开放赎回
2022-11-10,0.9298,0.9298,7.16%,限制大额申购,开放赎回
2022-11-11,0.9285,0.9285,-0.14%,限制大额申购,开放赎回
2022-11-14,0.9113,0.9113,-1.85%,限制大额申购,开放赎回
2022-11-15,0.9234,0.9234,1.33%,限制大额申购,开放赎回
2022-11-16,0.9158,0.9158,-0.82%,限制大额申购,开放赎回
2022-11-17,0.9204,0.9204,0.50%,限制大额申购,开放赎回
2022-11-18,0.9203,0.9203,-0.01%,限制大额申购,开放赎回
2022-11-21,0.9159,0.9159,-0.48%,限制大额申购,开放赎回
2022-11-22,0.9279,0.9279,1.31%,限制大额申购,开放赎回
2022-11-23,0.9355,0.9355,0.82%,限制大额申购,开放赎回
2022-11-24,0.9354,0.9354,-0.01%,暂停申购,暂停赎回
2022-11-25,0.9303,0.9303,-0.55%,限制大额申购,开放赎回
2022-11-28,0.9226,0.9226,-0.83%,限制大额申购,开放赎回
2022-11-29,0.9120,0.9120,-1.15%,限制大额申购,开放赎回
2022-11-30,0.9487,0.9487,4.02%,限制大额申购,开放赎回
2022-12-01,0.9416,0.9416,-0.75%,限制大额申购,开放赎回
2022-12-02,0.9338,0.9338,-0.83%,限制大额申购,开放赎回
2022-12-05,0.9088,0.9088,-2.68%,限制大额申购,开放赎回
2022-12-06,0.8952,0.8952,-1.50%,限制大额申购,开放赎回
2022-12-07,0.8895,0.8895,-0.64%,限制大额申购,开放赎回
2022-12-08,0.8984,0.8984,1.00%,限制大额申购,开放赎回
2022-12-09,0.8903,0.8903,-0.90%,限制大额申购,开放赎回
2022-12-12,0.9035,0.9035,1.48%,限制大额申购,开放赎回
2022-12-13,0.9133,0.9133,1.08%,限制大额申购,开放赎回
2022-12-14,0.9030,0.9030,-1.13%,限制大额申购,开放赎回
2022-12-15,0.8757,0.8757,-3.02%,限制大额申购,开放赎回
2022-12-16,0.8694,0.8694,-0.72%,限制大额申购,开放赎回
2022-12-19,0.8583,0.8583,-1.28%,限制大额申购,开放赎回
2022-12-20,0.8564,0.8564,-0.22%,限制大额申购,开放赎回
2022-12-21,0.8673,0.8673,1.27%,限制大额申购,开放赎回
2022-12-22,0.8483,0.8483,-2.19%,限制大额申购,开放赎回
2022-12-23,0.8509,0.8509,0.31%,限制大额申购,开放赎回
2022-12-26,0.8483,0.8483,-0.31%,暂停申购,暂停赎回
2022-12-27,0.8367,0.8367,-1.37%,限制大额申购,开放赎回
2022-12-28,0.8266,0.8266,-1.21%,限制大额申购,开放赎回
2022-12-29,0.8462,0.8462,2.37%,限制大额申购,开放赎回
2022-12-30,0.8425,0.8425,-0.44%,限制大额申购,开放赎回
2022-12-31,0.8425,0.8425,0.00%,限制大额申购,开放赎回
2023-01-03,0.8302,0.8302,-1.46%,限制大额申购,开放赎回
2023-01-04,0.8337,0.8337,0.42%,限制大额申购,开放赎回
2023-01-05,0.8193,0.8193,-1.73%,限制大额申购,开放赎回
2023-01-06,0.8394,0.8394,2.45%,限制大额申购,开放赎回
2023-01-09,0.8348,0.8348,-0.55%,限制大额申购,开放赎回
2023-01-10,0.8421,0.8421,0.87%,限制大额申购,开放赎回
2023-01-11,0.8547,0.8547,1.50%,限制大额申购,开放赎回
2023-01-12,0.8567,0.8567,0.23%,限制大额申购,开放赎回
2023-01-13,0.8573,0.8573,0.07%,限制大额申购,开放赎回
2023-01-16,0.8569,0.8569,-0.05%,暂停申购,暂停赎回
2023-01-17,0.8647,0.8647,0.91%,限制大额申购,开放赎回
2023-01-18,0.8545,0.8545,-1.18%,限制大额申购,开放赎回
2023-01-19,0.8471,0.8471,-0.87%,限制大额申购,开放赎回
2023-01-20,0.8695,0.8695,2.64%,限制大额申购,开放赎回
