date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2022-07-26,1.0000,1.0000,,封闭期,封闭期
2022-07-29,1.0051,1.0051,,封闭期,封闭期
2022-08-02,0.9997,0.9997,,封闭期,封闭期
2022-08-03,1.0283,1.0283,2.86%,开放申购,开放赎回
2022-08-04,1.0299,1.0299,0.16%,开放申购,开放赎回
2022-08-05,1.0201,1.0201,-0.95%,开放申购,开放赎回
2022-08-08,1.0205,1.0205,0.04%,开放申购,开放赎回
2022-08-09,1.0096,1.0096,-1.07%,开放申购,开放赎回
2022-08-10,1.0323,1.0323,2.25%,开放申购,开放赎回
2022-08-11,1.0218,1.0218,-1.02%,开放申购,开放赎回
2022-08-12,1.0423,1.0423,2.01%,开放申购,开放赎回
2022-08-15,1.0496,1.0496,0.70%,开放申购,开放赎回
2022-08-16,1.0514,1.0514,0.17%,开放申购,开放赎回
2022-08-17,1.0414,1.0414,-0.95%,开放申购,开放赎回
2022-08-18,1.0430,1.0430,0.15%,开放申购,开放赎回
2022-08-19,1.0280,1.0280,-1.44%,开放申购,开放赎回
2022-08-22,1.0038,1.0038,-2.35%,开放申购,开放赎回
2022-08-23,1.0071,1.0071,0.33%,开放申购,开放赎回
2022-08-24,1.0080,1.0080,0.09%,开放申购,开放赎回
2022-08-25,1.0269,1.0269,1.88%,开放申购,开放赎回
2022-08-26,0.9863,0.9863,-3.95%,开放申购,开放赎回
2022-08-29,0.9803,0.9803,-0.61%,开放申购,开放赎回
2022-08-30,0.9713,0.9713,-0.92%,开放申购,开放赎回
2022-08-31,0.9675,0.9675,-0.39%,开放申购,开放赎回
2022-09-01,0.9667,0.9667,-0.08%,开放申购,开放赎回
2022-09-02,0.9544,0.9544,-1.27%,开放申购,开放赎回
2022-09-05,0.9552,0.9552,0.08%,暂停申购,暂停赎回
2022-09-06,0.9492,0.9492,-0.63%,开放申购,开放赎回
2022-09-07,0.9673,0.9673,1.91%,开放申购,开放赎回
2022-09-08,0.9717,0.9717,0.45%,开放申购,开放赎回
2022-09-09,0.9907,0.9907,1.96%,开放申购,开放赎回
2022-09-13,0.9480,0.9480,-4.31%,开放申购,开放赎回
2022-09-14,0.9579,0.9579,1.04%,开放申购,开放赎回
2022-09-15,0.9421,0.9421,-1.65%,开放申购,开放赎回
2022-09-16,0.9399,0.9399,-0.23%,开放申购,开放赎回
2022-09-19,0.9481,0.9481,0.87%,开放申购,开放赎回
2022-09-20,0.9409,0.9409,-0.76%,开放申购,开放赎回
2022-09-21,0.9267,0.9267,-1.51%,开放申购,开放赎回
2022-09-22,0.9181,0.9181,-0.93%,开放申购,开放赎回
2022-09-23,0.9051,0.9051,-1.42%,开放申购,开放赎回
2022-09-26,0.9052,0.9052,0.01%,开放申购,开放赎回
