date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2014-11-13,1.0000,1.0000,,封闭期,封闭期
2014-11-14,1.0000,1.0000,0.00%,封闭期,封闭期
2014-11-20,1.0010,1.0010,,封闭期,封闭期
2014-11-26,1.0010,1.0010,,封闭期,封闭期
2014-11-27,1.0010,1.0010,0.00%,封闭期,封闭期
2014-11-28,1.0010,1.0010,0.00%,开放申购,开放赎回
2014-12-01,1.0020,1.0020,0.10%,开放申购,开放赎回
2014-12-02,1.0020,1.0020,0.00%,开放申购,开放赎回
2014-12-03,1.0020,1.0020,0.00%,开放申购,开放赎回
2014-12-04,1.0020,1.0020,0.00%,开放申购,开放赎回
2014-12-05,1.0020,1.0020,0.00%,开放申购,开放赎回
2014-12-08,1.0020,1.0020,0.00%,开放申购,开放赎回
2014-12-09,1.0010,1.0010,-0.10%,开放申购,开放赎回
2014-12-10,0.9990,0.9990,-0.20%,开放申购,开放赎回
2014-12-11,1.0000,1.0000,0.10%,开放申购,开放赎回
2014-12-12,0.9990,0.9990,-0.10%,开放申购,开放赎回
2014-12-15,0.9970,0.9970,-0.20%,开放申购,开放赎回
2014-12-16,0.9950,0.9950,-0.20%,开放申购,开放赎回
2014-12-17,0.9990,0.9990,0.40%,开放申购,开放赎回
2014-12-18,1.0030,1.0030,0.40%,开放申购,开放赎回
2014-12-19,1.0050,1.0050,0.20%,开放申购,开放赎回
2014-12-22,1.0060,1.0060,0.10%,开放申购,开放赎回
2014-12-23,1.0050,1.0050,-0.10%,开放申购,开放赎回
2014-12-24,1.0040,1.0040,-0.10%,开放申购,开放赎回
2014-12-26,1.0070,1.0070,,开放申购,开放赎回
2014-12-29,1.0070,1.0070,0.00%,开放申购,开放赎回
2014-12-30,1.0010,1.0010,-0.60%,开放申购,开放赎回
2014-12-31,0.9940,0.9940,-0.70%,开放申购,开放赎回
2015-01-05,0.9820,0.9820,-1.21%,开放申购,开放赎回
2015-01-06,0.9740,0.9740,-0.81%,开放申购,开放赎回
2015-01-07,0.9800,0.9800,0.62%,开放申购,开放赎回
2015-01-08,0.9950,0.9950,1.53%,开放申购,开放赎回
2015-01-09,0.9900,0.9900,-0.50%,开放申购,开放赎回
2015-01-12,0.9810,0.9810,-0.91%,开放申购,开放赎回
2015-01-13,0.9790,0.9790,-0.20%,开放申购,开放赎回
2015-01-14,0.9760,0.9760,-0.31%,开放申购,开放赎回
2015-01-15,0.9640,0.9640,-1.23%,开放申购,开放赎回
2015-01-16,0.9750,0.9750,1.14%,开放申购,开放赎回
2015-01-20,0.9810,0.9810,,开放申购,开放赎回
2015-01-21,0.9860,0.9860,0.51%,开放申购,开放赎回
2015-01-22,1.0010,1.0010,1.52%,开放申购,开放赎回
2015-01-23,1.0040,1.0040,0.30%,开放申购,开放赎回
2015-01-26,1.0040,1.0040,0.00%,开放申购,开放赎回
2015-01-27,0.9820,0.9820,-2.19%,开放申购,开放赎回
2015-01-28,0.9750,0.9750,-0.71%,开放申购,开放赎回
2015-01-29,0.9840,0.9840,0.92%,开放申购,开放赎回
2015-01-30,0.9780,0.9780,-0.61%,开放申购,开放赎回
2015-02-02,0.9860,0.9860,0.82%,开放申购,开放赎回
2015-02-03,0.9950,0.9950,0.91%,开放申购,开放赎回
2015-02-04,0.9920,0.9920,-0.30%,开放申购,开放赎回
2015-02-05,1.0010,1.0010,0.91%,开放申购,开放赎回
2015-02-06,0.9930,0.9930,-0.80%,开放申购,开放赎回
2015-02-09,0.9910,0.9910,-0.20%,开放申购,开放赎回
2015-02-10,1.0050,1.0050,1.41%,开放申购,开放赎回
2015-02-11,1.0080,1.0080,0.30%,开放申购,开放赎回
2015-02-12,1.0190,1.0190,1.09%,开放申购,开放赎回
2015-02-13,1.0260,1.0260,0.69%,开放申购,开放赎回
2015-02-17,1.0270,1.0270,,开放申购,开放赎回
2015-02-25,1.0410,1.0410,1.36%,开放申购,开放赎回
2015-02-26,1.0460,1.0460,0.48%,开放申购,开放赎回
2015-02-27,1.0420,1.0420,-0.38%,开放申购,开放赎回
2015-03-02,1.0530,1.0530,1.06%,开放申购,开放赎回
2015-03-03,1.0480,1.0480,-0.47%,开放申购,开放赎回
2015-03-04,1.0440,1.0440,-0.38%,开放申购,开放赎回
2015-03-05,1.0470,1.0470,0.29%,开放申购,开放赎回
2015-03-06,1.0350,1.0350,-1.15%,开放申购,开放赎回
2015-03-09,1.0400,1.0400,0.48%,开放申购,开放赎回
2015-03-10,1.0240,1.0240,-1.54%,开放申购,开放赎回
2015-03-11,1.0190,1.0190,-0.49%,开放申购,开放赎回
2015-03-12,1.0270,1.0270,0.79%,开放申购,开放赎回
2015-03-13,1.0230,1.0230,-0.39%,开放申购,开放赎回
2015-03-16,1.0360,1.0360,1.27%,开放申购,开放赎回
2015-03-17,1.0370,1.0370,0.10%,开放申购,开放赎回
2015-03-18,1.0460,1.0460,0.87%,开放申购,开放赎回
2015-03-19,1.0460,1.0460,0.00%,开放申购,开放赎回
2015-03-20,1.0540,1.0540,0.76%,开放申购,开放赎回
2015-03-23,1.0500,1.0500,-0.38%,开放申购,开放赎回
2015-03-24,1.0470,1.0470,-0.29%,开放申购,开放赎回
2015-03-25,1.0210,1.0210,-2.48%,开放申购,开放赎回
2015-03-26,1.0160,1.0160,-0.49%,开放申购,开放赎回
2015-03-27,1.0220,1.0220,0.59%,开放申购,开放赎回
2015-03-30,1.0330,1.0330,1.08%,开放申购,开放赎回
2015-03-31,1.0230,1.0230,-0.97%,开放申购,开放赎回
2015-04-01,1.0210,1.0210,-0.20%,开放申购,开放赎回
2015-04-02,1.0210,1.0210,0.00%,开放申购,开放赎回
2015-04-07,1.0260,1.0260,,开放申购,开放赎回
2015-04-08,1.0330,1.0330,0.68%,开放申购,开放赎回
2015-04-09,1.0400,1.0400,0.68%,开放申购,开放赎回
2015-04-10,1.0450,1.0450,0.48%,开放申购,开放赎回
2015-04-13,1.0430,1.0430,-0.19%,开放申购,开放赎回
2015-04-14,1.0400,1.0400,-0.29%,开放申购,开放赎回
2015-04-15,1.0460,1.0460,0.58%,开放申购,开放赎回
2015-04-16,1.0440,1.0440,-0.19%,开放申购,开放赎回
2015-04-17,1.0290,1.0290,-1.44%,开放申购,开放赎回
2015-04-20,1.0450,1.0450,1.55%,开放申购,开放赎回
2015-04-21,1.0500,1.0500,0.48%,开放申购,开放赎回
2015-04-22,1.0550,1.0550,0.48%,开放申购,开放赎回
2015-04-23,1.0600,1.0600,0.47%,开放申购,开放赎回
2015-04-24,1.0740,1.0740,1.32%,开放申购,开放赎回
2015-04-27,1.0720,1.0720,-0.19%,开放申购,开放赎回
2015-04-28,1.0700,1.0700,-0.19%,开放申购,开放赎回
2015-04-29,1.0620,1.0620,-0.75%,开放申购,开放赎回
2015-04-30,1.0450,1.0450,-1.60%,开放申购,开放赎回
2015-05-04,1.0640,1.0640,1.82%,开放申购,开放赎回
2015-05-05,1.0470,1.0470,-1.60%,开放申购,开放赎回
2015-05-06,1.0400,1.0400,-0.67%,开放申购,开放赎回
2015-05-07,1.0460,1.0460,0.58%,开放申购,开放赎回
2015-05-08,1.0590,1.0590,1.24%,开放申购,开放赎回
2015-05-11,1.0540,1.0540,-0.47%,开放申购,开放赎回
2015-05-12,1.0530,1.0530,-0.09%,开放申购,开放赎回
2015-05-13,1.0540,1.0540,0.10%,开放申购,开放赎回
2015-05-14,1.0690,1.0690,1.42%,开放申购,开放赎回
2015-05-15,1.0690,1.0690,0.00%,开放申购,开放赎回
2015-05-18,1.0730,1.0730,0.37%,开放申购,开放赎回
2015-05-19,1.0720,1.0720,-0.09%,开放申购,开放赎回
2015-05-20,1.0750,1.0750,0.28%,开放申购,开放赎回
2015-05-21,1.0810,1.0810,0.56%,开放申购,开放赎回
2015-05-22,1.0810,1.0810,0.00%,开放申购,开放赎回
2015-05-26,1.0690,1.0690,,开放申购,开放赎回
2015-05-27,1.0870,1.0870,1.68%,开放申购,开放赎回
2015-05-28,1.0840,1.0840,-0.28%,开放申购,开放赎回
2015-05-29,1.0780,1.0780,-0.55%,开放申购,开放赎回
2015-06-01,1.0840,1.0840,0.56%,开放申购,开放赎回
2015-06-02,1.0810,1.0810,-0.28%,开放申购,开放赎回
2015-06-03,1.0840,1.0840,0.28%,开放申购,开放赎回
2015-06-04,1.0760,1.0760,-0.74%,开放申购,开放赎回
2015-06-05,1.0740,1.0740,-0.19%,开放申购,开放赎回
2015-06-08,1.0640,1.0640,-0.93%,开放申购,开放赎回
2015-06-09,1.0620,1.0620,-0.19%,开放申购,开放赎回
2015-06-10,1.0750,1.0750,1.22%,开放申购,开放赎回
2015-06-11,1.0750,1.0750,0.00%,开放申购,开放赎回
2015-06-12,1.0670,1.0670,-0.74%,开放申购,开放赎回
2015-06-15,1.0630,1.0630,-0.37%,开放申购,开放赎回
2015-06-16,1.0680,1.0680,0.47%,开放申购,开放赎回
2015-06-17,1.0710,1.0710,0.28%,开放申购,开放赎回
2015-06-18,1.0850,1.0850,1.31%,开放申购,开放赎回
2015-06-19,1.0800,1.0800,-0.46%,开放申购,开放赎回
2015-06-23,1.0890,1.0890,0.83%,开放申购,开放赎回
2015-06-24,1.0840,1.0840,-0.46%,开放申购,开放赎回
2015-06-25,1.0810,1.0810,-0.28%,开放申购,开放赎回
2015-06-26,1.0740,1.0740,-0.65%,开放申购,开放赎回
2015-06-29,1.0500,1.0500,-2.23%,开放申购,开放赎回
2015-06-30,1.0530,1.0530,0.29%,开放申购,开放赎回
2015-07-01,1.0620,1.0620,0.85%,开放申购,开放赎回
2015-07-02,1.0630,1.0630,0.09%,开放申购,开放赎回
2015-07-06,1.0590,1.0590,,开放申购,开放赎回
2015-07-07,1.0620,1.0620,0.28%,开放申购,开放赎回
2015-07-08,1.0450,1.0450,-1.60%,开放申购,开放赎回
2015-07-09,1.0440,1.0440,-0.10%,开放申购,开放赎回
2015-07-10,1.0600,1.0600,1.53%,开放申购,开放赎回
2015-07-13,1.0760,1.0760,1.51%,开放申购,开放赎回
2015-07-14,1.0840,1.0840,0.74%,开放申购,开放赎回
2015-07-15,1.0850,1.0850,0.09%,开放申购,开放赎回
2015-07-16,1.1000,1.1000,1.38%,开放申购,开放赎回
2015-07-17,1.1160,1.1160,1.45%,开放申购,开放赎回
2015-07-20,1.1200,1.1200,0.36%,开放申购,开放赎回
2015-07-21,1.1190,1.1190,-0.09%,开放申购,开放赎回
2015-07-22,1.1060,1.1060,-1.16%,开放申购,开放赎回
2015-07-23,1.1020,1.1020,-0.36%,开放申购,开放赎回
2015-07-24,1.0910,1.0910,-1.00%,开放申购,开放赎回
2015-07-27,1.0810,1.0810,-0.92%,开放申购,开放赎回
2015-07-28,1.0900,1.0900,0.83%,开放申购,开放赎回
2015-07-29,1.0950,1.0950,0.46%,开放申购,开放赎回
2015-07-30,1.0990,1.0990,0.37%,开放申购,开放赎回
2015-07-31,1.0960,1.0960,-0.27%,开放申购,开放赎回
2015-08-03,1.0960,1.0960,0.00%,开放申购,开放赎回
2015-08-04,1.0940,1.0940,-0.18%,开放申购,开放赎回
2015-08-05,1.1020,1.1020,0.73%,开放申购,开放赎回
2015-08-06,1.0860,1.0860,-1.45%,开放申购,开放赎回
2015-08-07,1.0840,1.0840,-0.18%,开放申购,开放赎回
2015-08-10,1.0950,1.0950,1.01%,开放申购,开放赎回
2015-08-11,1.1010,1.1010,0.55%,开放申购,开放赎回
2015-08-12,1.1230,1.1230,2.00%,开放申购,开放赎回
2015-08-13,1.1330,1.1330,0.89%,开放申购,开放赎回
2015-08-14,1.1350,1.1350,0.18%,开放申购,开放赎回
2015-08-17,1.1430,1.1430,0.70%,开放申购,开放赎回
2015-08-18,1.1370,1.1370,-0.52%,开放申购,开放赎回
2015-08-19,1.1300,1.1300,-0.62%,开放申购,开放赎回
2015-08-20,1.1000,1.1000,-2.65%,开放申购,开放赎回
2015-08-21,1.0550,1.0550,-4.09%,开放申购,开放赎回
2015-08-24,1.0170,1.0170,-3.60%,开放申购,开放赎回
2015-08-25,1.0140,1.0140,-0.30%,开放申购,开放赎回
2015-08-26,1.0680,1.0680,5.33%,开放申购,开放赎回
2015-08-27,1.0990,1.0990,2.90%,开放申购,开放赎回
2015-08-28,1.0980,1.0980,-0.09%,开放申购,开放赎回
2015-08-31,1.0830,1.0830,-1.37%,开放申购,开放赎回
2015-09-01,1.0490,1.0490,-3.14%,开放申购,开放赎回
2015-09-02,1.0690,1.0690,1.91%,开放申购,开放赎回
2015-09-08,1.0790,1.0790,,开放申购,开放赎回
2015-09-09,1.0660,1.0660,-1.20%,开放申购,开放赎回
2015-09-10,1.0780,1.0780,1.13%,开放申购,开放赎回
2015-09-11,1.0830,1.0830,0.46%,开放申购,开放赎回
2015-09-14,1.0790,1.0790,-0.37%,开放申购,开放赎回
2015-09-15,1.0900,1.0900,1.02%,开放申购,开放赎回
2015-09-16,1.0960,1.0960,0.55%,开放申购,开放赎回
2015-09-17,1.0950,1.0950,-0.09%,开放申购,开放赎回
2015-09-18,1.0800,1.0800,-1.37%,开放申购,开放赎回
2015-09-21,1.0840,1.0840,0.37%,开放申购,开放赎回
2015-09-22,1.0690,1.0690,-1.38%,开放申购,开放赎回
2015-09-23,1.0700,1.0700,0.09%,开放申购,开放赎回
2015-09-24,1.0670,1.0670,-0.28%,开放申购,开放赎回
2015-09-25,1.0580,1.0580,-0.84%,开放申购,开放赎回
2015-09-28,1.0280,1.0280,-2.84%,开放申购,开放赎回
2015-09-29,1.0220,1.0220,-0.58%,开放申购,开放赎回
2015-09-30,1.0440,1.0440,2.15%,开放申购,开放赎回
2015-10-08,1.0820,1.0820,3.64%,开放申购,开放赎回
2015-10-09,1.0860,1.0860,0.37%,开放申购,开放赎回
2015-10-12,1.0870,1.0870,0.09%,开放申购,开放赎回
2015-10-13,1.0770,1.0770,-0.92%,开放申购,开放赎回
2015-10-14,1.0780,1.0780,0.09%,开放申购,开放赎回
2015-10-15,1.0950,1.0950,1.58%,开放申购,开放赎回
