date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2022-11-29,1.0000,1.0000,,封闭期,封闭期
2022-12-01,1.0000,1.0000,,封闭期,封闭期
2022-12-08,0.9997,0.9997,,封闭期,封闭期
2022-12-15,0.9987,0.9987,,封闭期,封闭期
2022-12-22,0.9965,0.9965,,封闭期,封闭期
2022-12-29,0.9960,0.9960,,封闭期,封闭期
2022-12-31,0.9970,0.9970,,封闭期,封闭期
2023-01-05,0.9832,0.9832,,封闭期,封闭期
2023-01-12,1.0046,1.0046,,封闭期,封闭期
2023-01-19,0.9973,0.9973,,封闭期,封闭期
2023-01-20,1.0111,1.0111,1.38%,封闭期,封闭期
2023-01-30,1.0179,1.0179,0.67%,开放申购,开放赎回
2023-01-31,1.0317,1.0317,1.36%,开放申购,开放赎回
2023-02-01,1.0494,1.0494,1.72%,开放申购,开放赎回
2023-02-02,1.0790,1.0790,2.82%,开放申购,开放赎回
2023-02-03,1.0646,1.0646,-1.33%,开放申购,开放赎回
2023-02-06,1.0615,1.0615,-0.29%,开放申购,开放赎回
2023-02-07,1.0859,1.0859,2.30%,开放申购,开放赎回
2023-02-08,1.0638,1.0638,-2.04%,开放申购,开放赎回
2023-02-09,1.0568,1.0568,-0.66%,开放申购,开放赎回
2023-02-10,1.0503,1.0503,-0.62%,开放申购,开放赎回
2023-02-13,1.0701,1.0701,1.89%,开放申购,开放赎回
2023-02-14,1.0769,1.0769,0.64%,开放申购,开放赎回
2023-02-15,1.0852,1.0852,0.77%,开放申购,开放赎回
2023-02-16,1.0700,1.0700,-1.40%,开放申购,开放赎回
2023-02-17,1.0653,1.0653,-0.44%,开放申购,开放赎回
2023-02-20,1.0649,1.0649,-0.04%,暂停申购,暂停赎回
2023-02-21,1.0393,1.0393,-2.40%,开放申购,开放赎回
2023-02-22,1.0428,1.0428,0.34%,开放申购,开放赎回
2023-02-23,1.0565,1.0565,1.31%,开放申购,开放赎回
2023-02-24,1.0375,1.0375,-1.80%,开放申购,开放赎回
2023-02-27,1.0542,1.0542,1.61%,开放申购,开放赎回
2023-02-28,1.0521,1.0521,-0.20%,开放申购,开放赎回
2023-03-01,1.0416,1.0416,-1.00%,开放申购,开放赎回
2023-03-02,1.0412,1.0412,-0.04%,开放申购,开放赎回
2023-03-03,1.0663,1.0663,2.41%,开放申购,开放赎回
2023-03-06,1.0650,1.0650,-0.12%,开放申购,开放赎回
2023-03-07,1.0562,1.0562,-0.83%,开放申购,开放赎回
2023-03-08,1.0664,1.0664,0.97%,开放申购,开放赎回
2023-03-09,1.0507,1.0507,-1.47%,开放申购,开放赎回
2023-03-10,1.0370,1.0370,-1.30%,开放申购,开放赎回
2023-03-13,1.0404,1.0404,0.33%,开放申购,开放赎回
2023-03-14,1.0574,1.0574,1.63%,开放申购,开放赎回
2023-03-15,1.0585,1.0585,0.10%,开放申购,开放赎回
2023-03-16,1.0933,1.0933,3.29%,开放申购,开放赎回
2023-03-17,1.0871,1.0871,-0.57%,开放申购,开放赎回
2023-03-20,1.0848,1.0848,-0.21%,开放申购,开放赎回
2023-03-21,1.1010,1.1010,1.49%,开放申购,开放赎回
2023-03-22,1.0865,1.0865,-1.32%,开放申购,开放赎回
2023-03-23,1.1000,1.1000,1.24%,开放申购,开放赎回
2023-03-24,1.0979,1.0979,-0.19%,开放申购,开放赎回
2023-03-27,1.0947,1.0947,-0.29%,开放申购,开放赎回
2023-03-28,1.0898,1.0898,-0.45%,开放申购,开放赎回
2023-03-29,1.1091,1.1091,1.77%,开放申购,开放赎回
2023-03-30,1.1204,1.1204,1.02%,开放申购,开放赎回
2023-03-31,1.1349,1.1349,1.29%,开放申购,开放赎回
2023-04-03,1.1336,1.1336,-0.11%,开放申购,开放赎回
2023-04-04,1.1286,1.1286,-0.44%,开放申购,开放赎回
2023-04-06,1.1271,1.1271,-0.13%,开放申购,开放赎回
2023-04-07,1.1284,1.1284,0.12%,暂停申购,暂停赎回
2023-04-10,1.1252,1.1252,-0.28%,开放申购,开放赎回
2023-04-11,1.1190,1.1190,-0.55%,开放申购,开放赎回
2023-04-12,1.1092,1.1092,-0.88%,开放申购,开放赎回
2023-04-13,1.1283,1.1283,1.72%,开放申购,开放赎回
2023-04-14,1.1252,1.1252,-0.27%,开放申购,开放赎回
2023-04-17,1.1266,1.1266,0.12%,开放申购,开放赎回
2023-04-18,1.1291,1.1291,0.22%,开放申购,开放赎回
2023-04-19,1.1276,1.1276,-0.13%,开放申购,开放赎回
2023-04-20,1.1230,1.1230,-0.41%,开放申购,开放赎回
2023-04-21,1.1205,1.1205,-0.22%,开放申购,开放赎回
2023-04-24,1.1190,1.1190,-0.13%,开放申购,开放赎回
2023-04-25,1.0995,1.0995,-1.74%,开放申购,开放赎回
2023-04-26,1.1131,1.1131,1.24%,开放申购,开放赎回
2023-04-27,1.1423,1.1423,2.62%,开放申购,开放赎回
2023-04-28,1.1500,1.1500,0.67%,开放申购,开放赎回
2023-05-04,1.1253,1.1253,-2.15%,开放申购,开放赎回
2023-05-05,1.1490,1.1490,2.11%,开放申购,开放赎回
2023-05-08,1.1523,1.1523,0.29%,开放申购,开放赎回
2023-05-09,1.1466,1.1466,-0.49%,开放申购,开放赎回
2023-05-10,1.1594,1.1594,1.12%,开放申购,开放赎回
2023-05-11,1.1601,1.1601,0.06%,开放申购,开放赎回
2023-05-12,1.1620,1.1620,0.16%,开放申购,开放赎回
2023-05-15,1.1702,1.1702,0.71%,开放申购,开放赎回
2023-05-16,1.1696,1.1696,-0.05%,开放申购,开放赎回
2023-05-17,1.1875,1.1875,1.53%,开放申购,开放赎回
2023-05-18,1.2110,1.2110,1.98%,开放申购,开放赎回
2023-05-19,1.2147,1.2147,0.31%,开放申购,开放赎回
2023-05-22,1.2149,1.2149,0.02%,开放申购,开放赎回
2023-05-23,1.2033,1.2033,-0.95%,开放申购,开放赎回
2023-05-24,1.2018,1.2018,-0.12%,开放申购,开放赎回
2023-05-25,1.2287,1.2287,2.24%,开放申购,开放赎回
2023-05-26,1.2614,1.2614,2.66%,开放申购,开放赎回
2023-05-29,1.2582,1.2582,-0.25%,暂停申购,暂停赎回
2023-05-30,1.2673,1.2673,0.72%,开放申购,开放赎回
2023-05-31,1.2590,1.2590,-0.65%,开放申购,开放赎回
2023-06-01,1.2759,1.2759,1.34%,开放申购,开放赎回
2023-06-02,1.2824,1.2824,0.51%,开放申购,开放赎回
2023-06-05,1.2821,1.2821,-0.02%,开放申购,开放赎回
2023-06-06,1.2848,1.2848,0.21%,开放申购,开放赎回
2023-06-07,1.2662,1.2662,-1.45%,开放申购,开放赎回
2023-06-08,1.2814,1.2814,1.20%,开放申购,开放赎回
2023-06-09,1.2829,1.2829,0.12%,开放申购,开放赎回
2023-06-12,1.3046,1.3046,1.69%,开放申购,开放赎回
2023-06-13,1.3188,1.3188,1.09%,开放申购,开放赎回
2023-06-14,1.3299,1.3299,0.84%,开放申购,开放赎回
2023-06-15,1.3425,1.3425,0.95%,开放申购,开放赎回
2023-06-16,1.3307,1.3307,-0.88%,开放申购,开放赎回
2023-06-19,1.3287,1.3287,-0.15%,暂停申购,暂停赎回
2023-06-20,1.3360,1.3360,0.55%,开放申购,开放赎回
2023-06-21,1.3220,1.3220,-1.05%,开放申购,开放赎回
2023-06-26,1.3118,1.3118,-0.77%,开放申购,开放赎回
2023-06-27,1.3347,1.3347,1.75%,开放申购,开放赎回
2023-06-28,1.3365,1.3365,0.13%,开放申购,开放赎回
2023-06-29,1.3359,1.3359,-0.04%,开放申购,开放赎回
2023-06-30,1.3569,1.3569,1.57%,开放申购,开放赎回
2023-07-03,1.3574,1.3574,0.04%,开放申购,开放赎回
2023-07-04,1.3554,1.3554,-0.15%,暂停申购,暂停赎回
2023-07-05,1.3545,1.3545,-0.07%,开放申购,开放赎回
2023-07-06,1.3479,1.3479,-0.49%,开放申购,开放赎回
