date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2013-08-02,1.0000,1.0000,,封闭期,封闭期
2013-08-09,1.0010,1.0010,0.10%,封闭期,封闭期
2013-08-16,1.0010,1.0010,0.00%,封闭期,封闭期
2013-08-23,1.0020,1.0020,0.10%,开放申购,开放赎回
2013-08-26,1.0020,1.0020,0.00%,开放申购,开放赎回
2013-08-27,1.0000,1.0000,-0.20%,开放申购,开放赎回
2013-08-28,1.0010,1.0010,0.10%,开放申购,开放赎回
2013-08-29,1.0020,1.0020,0.10%,开放申购,开放赎回
2013-08-30,1.0010,1.0010,-0.10%,开放申购,开放赎回
2013-09-02,1.0010,1.0010,0.00%,暂停申购,暂停赎回
2013-09-03,1.0020,1.0020,0.10%,开放申购,开放赎回
2013-09-04,1.0050,1.0050,0.30%,开放申购,开放赎回
2013-09-05,1.0050,1.0050,0.00%,开放申购,开放赎回
2013-09-06,1.0050,1.0050,0.00%,开放申购,开放赎回
2013-09-09,1.0070,1.0070,0.20%,开放申购,开放赎回
2013-09-10,1.0090,1.0090,0.20%,开放申购,开放赎回
2013-09-11,1.0090,1.0090,0.00%,开放申购,开放赎回
2013-09-12,1.0080,1.0080,-0.10%,开放申购,开放赎回
2013-09-13,1.0090,1.0090,0.10%,开放申购,开放赎回
2013-09-16,1.0100,1.0100,0.10%,开放申购,开放赎回
2013-09-17,1.0140,1.0140,0.40%,开放申购,开放赎回
2013-09-18,1.0190,1.0190,0.49%,开放申购,开放赎回
2013-09-23,1.0170,1.0170,-0.20%,开放申购,开放赎回
2013-09-24,1.0170,1.0170,0.00%,开放申购,开放赎回
2013-09-25,1.0170,1.0170,0.00%,开放申购,开放赎回
2013-09-26,1.0210,1.0210,0.39%,开放申购,开放赎回
2013-09-27,1.0210,1.0210,0.00%,开放申购,开放赎回
2013-09-30,1.0190,1.0190,-0.20%,开放申购,开放赎回
2013-10-08,1.0040,1.0040,-1.47%,开放申购,开放赎回
2013-10-09,1.0010,1.0010,-0.30%,开放申购,开放赎回
2013-10-10,1.0140,1.0140,1.30%,开放申购,开放赎回
2013-10-11,1.0200,1.0200,0.59%,开放申购,开放赎回
2013-10-14,1.0250,1.0250,0.49%,开放申购,开放赎回
2013-10-15,1.0220,1.0220,-0.29%,开放申购,开放赎回
2013-10-16,1.0310,1.0310,0.88%,开放申购,开放赎回
2013-10-17,1.0370,1.0370,0.58%,开放申购,开放赎回
2013-10-18,1.0440,1.0440,0.68%,开放申购,开放赎回
2013-10-21,1.0440,1.0440,0.00%,开放申购,开放赎回
2013-10-22,1.0470,1.0470,0.29%,开放申购,开放赎回
2013-10-23,1.0370,1.0370,-0.96%,开放申购,开放赎回
2013-10-24,1.0420,1.0420,0.48%,开放申购,开放赎回
2013-10-25,1.0490,1.0490,0.67%,开放申购,开放赎回
2013-10-28,1.0470,1.0470,-0.19%,开放申购,开放赎回
2013-10-29,1.0490,1.0490,0.19%,开放申购,开放赎回
2013-10-30,1.0470,1.0470,-0.19%,开放申购,开放赎回
2013-10-31,1.0440,1.0440,-0.29%,开放申购,开放赎回
2013-11-01,1.0440,1.0440,0.00%,开放申购,开放赎回
2013-11-04,1.0480,1.0480,0.38%,开放申购,开放赎回
2013-11-05,1.0500,1.0500,0.19%,开放申购,开放赎回
2013-11-06,1.0470,1.0470,-0.29%,开放申购,开放赎回
2013-11-07,1.0260,1.0260,-2.01%,开放申购,开放赎回
2013-11-08,1.0370,1.0370,1.07%,开放申购,开放赎回
2013-11-11,1.0360,1.0360,-0.10%,开放申购,开放赎回
2013-11-12,1.0360,1.0360,0.00%,开放申购,开放赎回
2013-11-13,1.0470,1.0470,1.06%,开放申购,开放赎回
2013-11-14,1.0470,1.0470,0.00%,开放申购,开放赎回
2013-11-15,1.0490,1.0490,0.19%,开放申购,开放赎回
2013-11-18,1.0370,1.0370,-1.14%,开放申购,开放赎回
2013-11-19,1.0360,1.0360,-0.10%,开放申购,开放赎回
2013-11-20,1.0320,1.0320,-0.39%,开放申购,开放赎回
2013-11-21,1.0420,1.0420,0.97%,开放申购,开放赎回
2013-11-22,1.0480,1.0480,0.58%,开放申购,开放赎回
2013-11-25,1.0480,1.0480,0.00%,开放申购,开放赎回
2013-11-26,1.0530,1.0530,0.48%,开放申购,开放赎回
2013-11-27,1.0600,1.0600,0.66%,开放申购,开放赎回
2013-11-28,1.0590,1.0590,-0.09%,暂停申购,暂停赎回
2013-11-29,1.0650,1.0650,0.57%,开放申购,开放赎回
2013-12-02,1.0630,1.0630,-0.19%,开放申购,开放赎回
2013-12-03,1.0630,1.0630,0.00%,开放申购,开放赎回
2013-12-04,1.0620,1.0620,-0.09%,开放申购,开放赎回
2013-12-05,1.0600,1.0600,-0.19%,开放申购,开放赎回
2013-12-06,1.0670,1.0670,0.66%,开放申购,开放赎回
2013-12-09,1.0670,1.0670,0.00%,开放申购,开放赎回
2013-12-10,1.0650,1.0650,-0.19%,开放申购,开放赎回
2013-12-11,1.0500,1.0500,-1.41%,开放申购,开放赎回
2013-12-12,1.0470,1.0470,-0.29%,开放申购,开放赎回
2013-12-13,1.0460,1.0460,-0.10%,开放申购,开放赎回
2013-12-16,1.0510,1.0510,0.48%,开放申购,开放赎回
2013-12-17,1.0480,1.0480,-0.29%,开放申购,开放赎回
2013-12-18,1.0600,1.0600,1.15%,开放申购,开放赎回
2013-12-19,1.0570,1.0570,-0.28%,开放申购,开放赎回
2013-12-20,1.0670,1.0670,0.95%,开放申购,开放赎回
2013-12-23,1.0770,1.0770,0.94%,开放申购,开放赎回
2013-12-24,1.0770,1.0770,0.00%,开放申购,开放赎回
2013-12-25,1.0780,1.0780,0.09%,暂停申购,暂停赎回
2013-12-26,1.0810,1.0810,0.28%,开放申购,开放赎回
2013-12-27,1.0760,1.0760,-0.46%,开放申购,开放赎回
2013-12-30,1.0740,1.0740,-0.19%,开放申购,开放赎回
2013-12-31,1.0780,1.0780,0.37%,开放申购,开放赎回
2014-01-02,1.0710,1.0710,-0.65%,开放申购,开放赎回
2014-01-03,1.0650,1.0650,-0.56%,开放申购,开放赎回
2014-01-06,1.0620,1.0620,-0.28%,开放申购,开放赎回
2014-01-07,1.0700,1.0700,0.75%,开放申购,开放赎回
2014-01-08,1.0730,1.0730,0.28%,开放申购,开放赎回
2014-01-09,1.0700,1.0700,-0.28%,开放申购,开放赎回
2014-01-10,1.0710,1.0710,0.09%,开放申购,开放赎回
2014-01-13,1.0580,1.0580,-1.21%,开放申购,开放赎回
2014-01-14,1.0740,1.0740,1.51%,开放申购,开放赎回
2014-01-15,1.0820,1.0820,0.74%,开放申购,开放赎回
2014-01-16,1.0830,1.0830,0.09%,开放申购,开放赎回
2014-01-17,1.0770,1.0770,-0.55%,开放申购,开放赎回
2014-01-20,1.0780,1.0780,0.09%,暂停申购,暂停赎回
2014-01-21,1.0840,1.0840,0.56%,开放申购,开放赎回
2014-01-22,1.0870,1.0870,0.28%,开放申购,开放赎回
2014-01-23,1.0840,1.0840,-0.28%,开放申购,开放赎回
2014-01-24,1.0680,1.0680,-1.48%,开放申购,开放赎回
2014-01-27,1.0600,1.0600,-0.75%,开放申购,开放赎回
2014-01-28,1.0580,1.0580,-0.19%,开放申购,开放赎回
2014-01-29,1.0490,1.0490,-0.85%,开放申购,开放赎回
2014-01-30,1.0650,1.0650,1.53%,开放申购,开放赎回
2014-02-07,1.0710,1.0710,0.56%,开放申购,开放赎回
2014-02-10,1.0750,1.0750,0.37%,开放申购,开放赎回
2014-02-11,1.0840,1.0840,0.84%,开放申购,开放赎回
2014-02-12,1.0860,1.0860,0.18%,开放申购,开放赎回
2014-02-13,1.0940,1.0940,0.74%,开放申购,开放赎回
2014-02-14,1.0950,1.0950,0.09%,开放申购,开放赎回
2014-02-17,1.0940,1.0940,-0.09%,暂停申购,暂停赎回
2014-02-18,1.0980,1.0980,0.37%,开放申购,开放赎回
2014-02-19,1.0920,1.0920,-0.55%,开放申购,开放赎回
2014-02-20,1.0970,1.0970,0.46%,开放申购,开放赎回
2014-02-21,1.0940,1.0940,-0.27%,开放申购,开放赎回
2014-02-24,1.1010,1.1010,0.64%,开放申购,开放赎回
2014-02-25,1.0990,1.0990,-0.18%,开放申购,开放赎回
2014-02-26,1.0980,1.0980,-0.09%,开放申购,开放赎回
2014-02-27,1.1060,1.1060,0.73%,开放申购,开放赎回
2014-02-28,1.1050,1.1050,-0.09%,开放申购,开放赎回
2014-03-03,1.0960,1.0960,-0.81%,开放申购,开放赎回
2014-03-04,1.1110,1.1110,1.37%,开放申购,开放赎回
2014-03-05,1.1140,1.1140,0.27%,开放申购,开放赎回
2014-03-06,1.1110,1.1110,-0.27%,开放申购,开放赎回
2014-03-07,1.1060,1.1060,-0.45%,开放申购,开放赎回
2014-03-10,1.1080,1.1080,0.18%,开放申购,开放赎回
2014-03-11,1.1050,1.1050,-0.27%,开放申购,开放赎回
2014-03-12,1.1090,1.1090,0.36%,开放申购,开放赎回
2014-03-13,1.0950,1.0950,-1.26%,开放申购,开放赎回
2014-03-14,1.0900,1.0900,-0.46%,开放申购,开放赎回
2014-03-17,1.0970,1.0970,0.64%,开放申购,开放赎回
2014-03-18,1.1090,1.1090,1.09%,开放申购,开放赎回
2014-03-19,1.1030,1.1030,-0.54%,开放申购,开放赎回
2014-03-20,1.1080,1.1080,0.45%,开放申购,开放赎回
2014-03-21,1.1000,1.1000,-0.72%,开放申购,开放赎回
2014-03-24,1.0920,1.0920,-0.73%,开放申购,开放赎回
2014-03-25,1.0950,1.0950,0.27%,开放申购,开放赎回
2014-03-26,1.0840,1.0840,-1.00%,开放申购,开放赎回
2014-03-27,1.0790,1.0790,-0.46%,开放申购,开放赎回
2014-03-28,1.0820,1.0820,0.28%,开放申购,开放赎回
2014-03-31,1.0880,1.0880,0.55%,开放申购,开放赎回
2014-04-01,1.1020,1.1020,1.29%,开放申购,开放赎回
2014-04-02,1.1030,1.1030,0.09%,开放申购,开放赎回
2014-04-03,1.0980,1.0980,-0.45%,开放申购,开放赎回
2014-04-04,1.0760,1.0760,-2.00%,开放申购,开放赎回
2014-04-08,1.0750,1.0750,-0.09%,开放申购,开放赎回
2014-04-09,1.0890,1.0890,1.30%,开放申购,开放赎回
2014-04-10,1.0630,1.0630,-2.39%,开放申购,开放赎回
2014-04-11,1.0540,1.0540,-0.85%,开放申购,开放赎回
2014-04-14,1.0610,1.0610,0.66%,开放申购,开放赎回
2014-04-15,1.0640,1.0640,0.28%,开放申购,开放赎回
2014-04-16,1.0750,1.0750,1.03%,开放申购,开放赎回
2014-04-17,1.0750,1.0750,0.00%,开放申购,开放赎回
2014-04-18,1.0750,1.0750,0.00%,暂停申购,暂停赎回
2014-04-21,1.0820,1.0820,0.65%,开放申购,开放赎回
2014-04-22,1.0880,1.0880,0.55%,开放申购,开放赎回
2014-04-23,1.0800,1.0800,-0.74%,开放申购,开放赎回
2014-04-24,1.0910,1.0910,1.02%,开放申购,开放赎回
2014-04-25,1.0760,1.0760,-1.37%,开放申购,开放赎回
2014-04-28,1.0800,1.0800,0.37%,开放申购,开放赎回
2014-04-29,1.0870,1.0870,0.65%,开放申购,开放赎回
2014-04-30,1.0890,1.0890,0.18%,开放申购,开放赎回
2014-05-05,1.0940,1.0940,0.46%,开放申购,开放赎回
2014-05-06,1.0810,1.0810,-1.19%,开放申购,开放赎回
2014-05-07,1.0780,1.0780,-0.28%,开放申购,开放赎回
2014-05-08,1.0770,1.0770,-0.09%,开放申购,开放赎回
2014-05-09,1.0810,1.0810,0.37%,开放申购,开放赎回
2014-05-12,1.0970,1.0970,1.48%,开放申购,开放赎回
2014-05-13,1.0980,1.0980,0.09%,开放申购,开放赎回
2014-05-14,1.0930,1.0930,-0.46%,开放申购,开放赎回
2014-05-15,1.0860,1.0860,-0.64%,开放申购,开放赎回
2014-05-16,1.0910,1.0910,0.46%,开放申购,开放赎回
2014-05-19,1.0980,1.0980,0.64%,开放申购,开放赎回
2014-05-20,1.0940,1.0940,-0.36%,开放申购,开放赎回
2014-05-21,1.1030,1.1030,0.82%,开放申购,开放赎回
2014-05-22,1.1070,1.1070,0.36%,开放申购,开放赎回
2014-05-23,1.1140,1.1140,0.63%,开放申购,开放赎回
2014-05-26,1.1150,1.1150,0.09%,暂停申购,暂停赎回
2014-05-27,1.1260,1.1260,0.99%,开放申购,开放赎回
2014-05-28,1.1240,1.1240,-0.18%,开放申购,开放赎回
