date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2010-04-29,1.0000,1.0000,,封闭期,封闭期
2010-04-30,1.0000,1.0000,0.00%,封闭期,封闭期
2010-05-07,0.9990,0.9990,-0.10%,封闭期,封闭期
2010-05-14,1.0000,1.0000,0.10%,封闭期,封闭期
2010-05-21,0.9990,0.9990,-0.10%,封闭期,封闭期
2010-05-28,0.9990,0.9990,0.00%,封闭期,封闭期
2010-06-02,0.9990,0.9990,0.00%,开放申购,开放赎回
2010-06-03,1.0000,1.0000,0.10%,开放申购,开放赎回
2010-06-04,0.9990,0.9990,-0.10%,开放申购,开放赎回
2010-06-07,0.9980,0.9980,-0.10%,开放申购,开放赎回
2010-06-08,0.9980,0.9980,0.00%,开放申购,开放赎回
2010-06-09,0.9970,0.9970,-0.10%,开放申购,开放赎回
2010-06-10,1.0000,1.0000,0.30%,开放申购,开放赎回
2010-06-11,1.0010,1.0010,0.10%,开放申购,开放赎回
2010-06-17,1.0050,1.0050,0.40%,开放申购,开放赎回
2010-06-18,1.0040,1.0040,-0.10%,开放申购,开放赎回
2010-06-21,1.0020,1.0020,-0.20%,开放申购,开放赎回
2010-06-22,0.9980,0.9980,-0.40%,开放申购,开放赎回
2010-06-23,0.9980,0.9980,0.00%,开放申购,开放赎回
2010-06-24,0.9940,0.9940,-0.40%,开放申购,开放赎回
2010-06-25,0.9930,0.9930,-0.10%,开放申购,开放赎回
2010-06-28,0.9910,0.9910,-0.20%,开放申购,开放赎回
2010-06-29,0.9790,0.9790,-1.21%,开放申购,开放赎回
2010-06-30,0.9740,0.9740,-0.51%,开放申购,开放赎回
2010-07-01,0.9730,0.9730,-0.10%,开放申购,开放赎回
2010-07-02,0.9710,0.9710,-0.21%,开放申购,开放赎回
2010-07-06,0.9720,0.9720,0.10%,开放申购,开放赎回
2010-07-07,0.9830,0.9830,1.13%,开放申购,开放赎回
2010-07-08,0.9850,0.9850,0.20%,开放申购,开放赎回
2010-07-09,0.9890,0.9890,0.41%,开放申购,开放赎回
2010-07-12,0.9900,0.9900,0.10%,开放申购,开放赎回
2010-07-13,0.9960,0.9960,0.61%,开放申购,开放赎回
2010-07-14,0.9980,0.9980,0.20%,开放申购,开放赎回
2010-07-15,0.9980,0.9980,0.00%,开放申购,开放赎回
2010-07-16,0.9860,0.9860,-1.20%,开放申购,开放赎回
2010-07-19,0.9910,0.9910,0.51%,开放申购,开放赎回
2010-07-20,0.9950,0.9950,0.40%,开放申购,开放赎回
2010-07-21,0.9900,0.9900,-0.50%,开放申购,开放赎回
2010-07-22,1.0000,1.0000,1.01%,开放申购,开放赎回
2010-07-23,1.0020,1.0020,0.20%,开放申购,开放赎回
2010-07-26,1.0050,1.0050,0.30%,开放申购,开放赎回
2010-07-27,1.0040,1.0040,-0.10%,开放申购,开放赎回
2010-07-28,1.0010,1.0010,-0.30%,开放申购,开放赎回
2010-07-29,0.9990,0.9990,-0.20%,开放申购,开放赎回
2010-07-30,0.9990,0.9990,0.00%,开放申购,开放赎回
2010-08-02,1.0060,1.0060,0.70%,开放申购,开放赎回
2010-08-03,1.0050,1.0050,-0.10%,开放申购,开放赎回
2010-08-04,1.0080,1.0080,0.30%,开放申购,开放赎回
2010-08-05,1.0080,1.0080,0.00%,开放申购,开放赎回
2010-08-06,1.0070,1.0070,-0.10%,开放申购,开放赎回
2010-08-09,1.0090,1.0090,0.20%,开放申购,开放赎回
2010-08-10,1.0060,1.0060,-0.30%,开放申购,开放赎回
2010-08-11,0.9950,0.9950,-1.09%,开放申购,开放赎回
2010-08-12,0.9940,0.9940,-0.10%,开放申购,开放赎回
2010-08-13,0.9910,0.9910,-0.30%,开放申购,开放赎回
2010-08-16,0.9920,0.9920,0.10%,开放申购,开放赎回
2010-08-17,0.9970,0.9970,0.50%,开放申购,开放赎回
2010-08-18,0.9970,0.9970,0.00%,开放申购,开放赎回
2010-08-19,0.9900,0.9900,-0.70%,开放申购,开放赎回
2010-08-20,0.9910,0.9910,0.10%,开放申购,开放赎回
2010-08-23,0.9870,0.9870,-0.40%,开放申购,开放赎回
2010-08-24,0.9780,0.9780,-0.91%,开放申购,开放赎回
2010-08-25,0.9830,0.9830,0.51%,开放申购,开放赎回
2010-08-26,0.9770,0.9770,-0.61%,开放申购,开放赎回
2010-08-27,0.9830,0.9830,0.61%,开放申购,开放赎回
2010-08-30,0.9770,0.9770,-0.61%,开放申购,开放赎回
2010-08-31,0.9770,0.9770,0.00%,开放申购,开放赎回
2010-09-01,0.9930,0.9930,1.64%,开放申购,开放赎回
2010-09-02,0.9990,0.9990,0.60%,开放申购,开放赎回
2010-09-03,1.0080,1.0080,0.90%,开放申购,开放赎回
2010-09-07,1.0010,1.0010,-0.69%,开放申购,开放赎回
2010-09-08,1.0100,1.0100,0.90%,开放申购,开放赎回
2010-09-09,1.0110,1.0110,0.10%,开放申购,开放赎回
2010-09-10,1.0110,1.0110,0.00%,开放申购,开放赎回
2010-09-13,1.0190,1.0190,0.79%,开放申购,开放赎回
2010-09-14,1.0200,1.0200,0.10%,开放申购,开放赎回
2010-09-15,1.0220,1.0220,0.20%,开放申购,开放赎回
2010-09-16,1.0240,1.0240,0.20%,开放申购,开放赎回
2010-09-17,1.0270,1.0270,0.29%,开放申购,开放赎回
2010-09-20,1.0370,1.0370,0.97%,开放申购,开放赎回
2010-09-21,1.0350,1.0350,-0.19%,开放申购,开放赎回
2010-09-27,1.0440,1.0440,0.87%,开放申购,开放赎回
2010-09-28,1.0440,1.0440,0.00%,开放申购,开放赎回
2010-09-29,1.0410,1.0410,-0.29%,开放申购,开放赎回
2010-09-30,1.0380,1.0380,-0.29%,开放申购,开放赎回
2010-10-08,1.0460,1.0460,0.77%,开放申购,开放赎回
2010-10-11,1.0440,1.0440,-0.19%,开放申购,开放赎回
2010-10-12,1.0500,1.0500,0.57%,开放申购,开放赎回
2010-10-13,1.0560,1.0560,0.57%,开放申购,开放赎回
2010-10-14,1.0530,1.0530,-0.28%,开放申购,开放赎回
2010-10-15,1.0710,1.0710,1.71%,开放申购,开放赎回
2010-10-18,1.0740,1.0740,0.28%,开放申购,开放赎回
2010-10-19,1.0580,1.0580,-1.49%,开放申购,开放赎回
2010-10-20,1.0690,1.0690,1.04%,开放申购,开放赎回
2010-10-21,1.0700,1.0700,0.09%,开放申购,开放赎回
2010-10-22,1.0770,1.0770,0.65%,开放申购,开放赎回
2010-10-25,1.0820,1.0820,0.46%,开放申购,开放赎回
2010-10-26,1.0830,1.0830,0.09%,开放申购,开放赎回
2010-10-27,1.0890,1.0890,0.55%,开放申购,开放赎回
2010-10-28,1.0920,1.0920,0.28%,开放申购,开放赎回
2010-10-29,1.0890,1.0890,-0.27%,开放申购,开放赎回
2010-11-01,1.0900,1.0900,0.09%,开放申购,开放赎回
2010-11-02,1.1000,1.1000,0.92%,开放申购,开放赎回
2010-11-03,1.1020,1.1020,0.18%,开放申购,开放赎回
2010-11-04,1.1130,1.1130,1.00%,开放申购,开放赎回
2010-11-05,1.1110,1.1110,-0.18%,开放申购,开放赎回
2010-11-08,1.1130,1.1130,0.18%,开放申购,开放赎回
2010-11-09,1.1060,1.1060,-0.63%,开放申购,开放赎回
2010-11-10,1.1100,1.1100,0.36%,开放申购,开放赎回
2010-11-11,1.0990,1.0990,-0.99%,开放申购,开放赎回
2010-11-12,1.0820,1.0820,-1.55%,开放申购,开放赎回
2010-11-15,1.0800,1.0800,-0.18%,开放申购,开放赎回
2010-11-16,1.0660,1.0660,-1.30%,开放申购,开放赎回
2010-11-17,1.0700,1.0700,0.38%,开放申购,开放赎回
2010-11-18,1.0850,1.0850,1.40%,开放申购,开放赎回
2010-11-19,1.0850,1.0850,0.00%,开放申购,开放赎回
2010-11-22,1.0920,1.0920,0.65%,开放申购,开放赎回
2010-11-23,1.0780,1.0780,-1.28%,开放申购,开放赎回
2010-11-24,1.1000,1.1000,2.04%,开放申购,开放赎回
2010-11-26,1.0950,1.0950,-0.45%,开放申购,开放赎回
2010-11-29,1.0940,1.0940,-0.09%,开放申购,开放赎回
2010-11-30,1.0830,1.0830,-1.01%,开放申购,开放赎回
2010-12-01,1.1050,1.1050,2.03%,开放申购,开放赎回
2010-12-02,1.1140,1.1140,0.81%,开放申购,开放赎回
2010-12-03,1.1150,1.1150,0.09%,开放申购,开放赎回
2010-12-06,1.1130,1.1130,-0.18%,开放申购,开放赎回
2010-12-07,1.1130,1.1130,0.00%,开放申购,开放赎回
2010-12-08,1.1190,1.1190,0.54%,开放申购,开放赎回
2010-12-09,1.1200,1.1200,0.09%,开放申购,开放赎回
2010-12-10,1.1260,1.1260,0.54%,开放申购,开放赎回
2010-12-13,1.1230,1.1230,-0.27%,开放申购,开放赎回
2010-12-14,1.1230,1.1230,0.00%,开放申购,开放赎回
2010-12-15,1.1190,1.1190,-0.36%,开放申购,开放赎回
2010-12-16,1.1280,1.1280,0.80%,开放申购,开放赎回
2010-12-17,1.1280,1.1280,0.00%,开放申购,开放赎回
2010-12-20,1.1300,1.1300,0.18%,开放申购,开放赎回
2010-12-21,1.1350,1.1350,0.44%,开放申购,开放赎回
2010-12-22,1.1350,1.1350,0.00%,开放申购,开放赎回
2010-12-23,1.1310,1.1310,-0.35%,开放申购,开放赎回
2010-12-27,1.1280,1.1280,-0.27%,开放申购,开放赎回
2010-12-28,1.1260,1.1260,-0.18%,开放申购,开放赎回
2010-12-29,1.1280,1.1280,0.18%,开放申购,开放赎回
2010-12-30,1.1250,1.1250,-0.27%,开放申购,开放赎回
2010-12-31,1.1210,1.1210,-0.36%,开放申购,开放赎回
2011-01-04,1.1370,1.1370,1.43%,开放申购,开放赎回
2011-01-05,1.1470,1.1470,0.88%,开放申购,开放赎回
