date,nav,accum_nav,daily_growth,purchase_status,redeem_status
2010-09-14,1.0000,1.0000,,封闭期,封闭期
2010-09-16,1.0000,1.0000,0.00%,封闭期,封闭期
2010-09-20,1.0000,1.0000,0.00%,封闭期,封闭期
2010-09-29,1.0000,1.0000,0.00%,封闭期,封闭期
2010-09-30,1.0000,1.0000,0.00%,封闭期,封闭期
2010-10-14,1.0010,1.0010,0.10%,封闭期,封闭期
2010-10-19,1.0000,1.0000,-0.10%,封闭期,封闭期
2010-10-20,1.0000,1.0000,0.00%,封闭期,封闭期
2010-10-21,1.0010,1.0010,0.10%,封闭期,开放赎回
2010-10-22,1.0010,1.0010,0.00%,封闭期,开放赎回
2010-10-25,1.0020,1.0020,0.10%,开放申购,开放赎回
2010-10-26,1.0020,1.0020,0.00%,开放申购,开放赎回
2010-10-27,0.9970,0.9970,-0.50%,开放申购,开放赎回
2010-10-28,0.9980,0.9980,0.10%,开放申购,开放赎回
2010-10-29,0.9970,0.9970,-0.10%,开放申购,开放赎回
2010-11-02,1.0020,1.0020,0.50%,暂停申购,暂停赎回
2010-11-03,1.0070,1.0070,0.50%,开放申购,开放赎回
2010-11-04,1.0100,1.0100,0.30%,开放申购,开放赎回
2010-11-05,1.0140,1.0140,0.40%,开放申购,开放赎回
2010-11-08,1.0180,1.0180,0.39%,开放申购,开放赎回
2010-11-09,1.0110,1.0110,-0.69%,开放申购,开放赎回
2010-11-10,1.0060,1.0060,-0.49%,开放申购,开放赎回
2010-11-12,0.9900,0.9900,-1.59%,开放申购,开放赎回
2010-11-15,0.9870,0.9870,-0.30%,开放申购,开放赎回
2010-11-16,0.9720,0.9720,-1.52%,开放申购,开放赎回
2010-11-17,0.9630,0.9630,-0.93%,开放申购,开放赎回
2010-11-18,0.9790,0.9790,1.66%,开放申购,开放赎回
2010-11-19,0.9830,0.9830,0.41%,开放申购,开放赎回
2010-11-22,0.9830,0.9830,0.00%,开放申购,开放赎回
2010-11-23,0.9660,0.9660,-1.73%,开放申购,开放赎回
2010-11-25,0.9730,0.9730,0.72%,暂停申购,暂停赎回
2010-11-26,0.9720,0.9720,-0.10%,开放申购,开放赎回
2010-11-29,0.9720,0.9720,0.00%,开放申购,开放赎回
2010-11-30,0.9690,0.9690,-0.31%,开放申购,开放赎回
2010-12-01,0.9800,0.9800,1.14%,开放申购,开放赎回
2010-12-02,0.9900,0.9900,1.02%,开放申购,开放赎回
2010-12-03,0.9920,0.9920,0.20%,开放申购,开放赎回
2010-12-06,0.9930,0.9930,0.10%,开放申购,开放赎回
2010-12-07,0.9980,0.9980,0.50%,开放申购,开放赎回
2010-12-08,0.9910,0.9910,-0.70%,开放申购,开放赎回
2010-12-09,0.9910,0.9910,0.00%,开放申购,开放赎回
2010-12-10,0.9890,0.9890,-0.20%,开放申购,开放赎回
2010-12-13,0.9920,0.9920,0.30%,开放申购,开放赎回
2010-12-14,0.9940,0.9940,0.20%,开放申购,开放赎回
2010-12-15,0.9860,0.9860,-0.80%,开放申购,开放赎回
2010-12-16,0.9800,0.9800,-0.61%,开放申购,开放赎回
2010-12-17,0.9810,0.9810,0.10%,开放申购,开放赎回
2010-12-20,0.9770,0.9770,-0.41%,开放申购,开放赎回
2010-12-21,0.9860,0.9860,0.92%,开放申购,开放赎回
2010-12-22,0.9880,0.9880,0.20%,开放申购,开放赎回
2010-12-27,0.9840,0.9840,-0.40%,暂停申购,暂停赎回
2010-12-28,0.9750,0.9750,-0.91%,开放申购,开放赎回
2010-12-29,0.9800,0.9800,0.51%,开放申购,开放赎回
2010-12-30,0.9830,0.9830,0.31%,开放申购,开放赎回
2010-12-31,0.9840,0.9840,0.10%,开放申购,开放赎回
2011-01-04,0.9990,0.9990,1.52%,开放申购,开放赎回
2011-01-05,1.0010,1.0010,0.20%,开放申购,开放赎回
2011-01-06,1.0000,1.0000,-0.10%,开放申购,开放赎回
2011-01-07,0.9950,0.9950,-0.50%,开放申购,开放赎回
2011-01-10,0.9910,0.9910,-0.40%,开放申购,开放赎回
2011-01-11,0.9970,0.9970,0.61%,开放申购,开放赎回
2011-01-12,1.0060,1.0060,0.90%,开放申购,开放赎回
2011-01-13,1.0060,1.0060,0.00%,开放申购,开放赎回
2011-01-14,1.0070,1.0070,0.10%,开放申购,开放赎回
2011-01-18,1.0040,1.0040,-0.30%,开放申购,开放赎回
2011-01-19,1.0060,1.0060,0.20%,开放申购,开放赎回
2011-01-20,0.9910,0.9910,-1.49%,开放申购,开放赎回
2011-01-21,0.9860,0.9860,-0.50%,开放申购,开放赎回
2011-01-24,0.9860,0.9860,0.00%,开放申购,开放赎回
2011-01-25,0.9880,0.9880,0.20%,开放申购,开放赎回
2011-01-26,0.9930,0.9930,0.51%,开放申购,开放赎回
2011-01-27,0.9950,0.9950,0.20%,开放申购,开放赎回
2011-01-28,0.9830,0.9830,-1.21%,开放申购,开放赎回
2011-01-31,0.9810,0.9810,-0.20%,开放申购,开放赎回
2011-02-01,0.9920,0.9920,1.12%,开放申购,开放赎回
2011-02-09,0.9910,0.9910,-0.10%,开放申购,开放赎回
2011-02-10,0.9850,0.9850,-0.61%,开放申购,开放赎回
2011-02-11,0.9900,0.9900,0.51%,开放申购,开放赎回
2011-02-14,0.9980,0.9980,0.81%,开放申购,开放赎回
2011-02-15,0.9940,0.9940,-0.40%,开放申购,开放赎回
2011-02-16,0.9990,0.9990,0.50%,开放申购,开放赎回
2011-02-17,1.0020,1.0020,0.30%,开放申购,开放赎回
2011-02-18,1.0060,1.0060,0.40%,开放申购,开放赎回
2011-02-22,0.9810,0.9810,-2.49%,开放申购,开放赎回
2011-02-23,0.9730,0.9730,-0.82%,开放申购,开放赎回
2011-02-24,0.9660,0.9660,-0.72%,开放申购,开放赎回
2011-02-25,0.9780,0.9780,1.24%,开放申购,开放赎回
2011-02-28,0.9860,0.9860,0.82%,开放申购,开放赎回
2011-03-01,0.9850,0.9850,-0.10%,开放申购,开放赎回
2011-03-02,0.9820,0.9820,-0.30%,开放申购,开放赎回
2011-03-03,0.9930,0.9930,1.12%,开放申购,开放赎回
2011-03-04,0.9940,0.9940,0.10%,开放申购,开放赎回
2011-03-07,0.9880,0.9880,-0.60%,开放申购,开放赎回
2011-03-08,0.9950,0.9950,0.71%,开放申购,开放赎回
2011-03-09,0.9970,0.9970,0.20%,开放申购,开放赎回
2011-03-10,0.9830,0.9830,-1.40%,开放申购,开放赎回
2011-03-11,0.9760,0.9760,-0.71%,开放申购,开放赎回
2011-03-14,0.9730,0.9730,-0.31%,开放申购,开放赎回
2011-03-15,0.9530,0.9530,-2.06%,开放申购,开放赎回
2011-03-16,0.9520,0.9520,-0.10%,开放申购,开放赎回
2011-03-17,0.9480,0.9480,-0.42%,开放申购,开放赎回
2011-03-18,0.9520,0.9520,0.42%,开放申购,开放赎回
2011-03-21,0.9690,0.9690,1.79%,开放申购,开放赎回
2011-03-22,0.9740,0.9740,0.52%,开放申购,开放赎回
2011-03-23,0.9760,0.9760,0.21%,开放申购,开放赎回
2011-03-24,0.9840,0.9840,0.82%,开放申购,开放赎回
2011-03-25,0.9900,0.9900,0.61%,开放申购,开放赎回
2011-03-28,0.9850,0.9850,-0.51%,开放申购,开放赎回
2011-03-29,0.9880,0.9880,0.30%,开放申购,开放赎回
2011-03-30,1.0010,1.0010,1.32%,开放申购,开放赎回
2011-03-31,1.0050,1.0050,0.40%,开放申购,开放赎回
2011-04-01,1.0160,1.0160,1.09%,开放申购,开放赎回
2011-04-06,1.0250,1.0250,0.89%,开放申购,开放赎回
2011-04-07,1.0240,1.0240,-0.10%,开放申购,开放赎回
2011-04-08,1.0280,1.0280,0.39%,开放申购,开放赎回
2011-04-11,1.0270,1.0270,-0.10%,开放申购,开放赎回
2011-04-12,1.0100,1.0100,-1.66%,开放申购,开放赎回
2011-04-13,1.0180,1.0180,0.79%,开放申购,开放赎回
2011-04-14,1.0170,1.0170,-0.10%,开放申购,开放赎回
2011-04-15,1.0190,1.0190,0.20%,开放申购,开放赎回
2011-04-18,1.0090,1.0090,-0.98%,开放申购,开放赎回
2011-04-19,1.0070,1.0070,-0.20%,开放申购,开放赎回
2011-04-20,1.0260,1.0260,1.89%,开放申购,开放赎回
2011-04-21,1.0360,1.0360,0.97%,开放申购,开放赎回
2011-04-26,1.0320,1.0320,-0.39%,开放申购,开放赎回
2011-04-27,1.0290,1.0290,-0.29%,开放申购,开放赎回
2011-04-28,1.0270,1.0270,-0.19%,开放申购,开放赎回
2011-04-29,1.0220,1.0220,-0.49%,开放申购,开放赎回
2011-05-03,1.0150,1.0150,-0.68%,开放申购,开放赎回
2011-05-04,1.0000,1.0000,-1.48%,开放申购,开放赎回
2011-05-05,0.9950,0.9950,-0.50%,开放申购,开放赎回
2011-05-06,0.9960,0.9960,0.10%,开放申购,开放赎回
2011-05-09,1.0010,1.0010,0.50%,开放申购,开放赎回
2011-05-11,1.0030,1.0030,0.20%,开放申购,开放赎回
2011-05-12,0.9960,0.9960,-0.70%,开放申购,开放赎回
2011-05-13,0.9930,0.9930,-0.30%,开放申购,开放赎回
2011-05-16,0.9840,0.9840,-0.91%,开放申购,开放赎回
