market_regime,days,fwd_1m_avg,fwd_1m_median,fwd_3m_avg,fwd_3m_median,fwd_6m_avg,fwd_6m_median,fwd_12m_avg,fwd_12m_median,fwd_12m_mdd_avg,fwd_12m_mdd_median,fwd_1m_win_rate,fwd_3m_win_rate,fwd_6m_win_rate,fwd_12m_win_rate
normal,1565,0.01800911560441307,0.028589293241534364,0.05075439423739883,0.058021353431763956,0.08943423507558722,0.09712631953267559,0.18265313752897744,0.18777538911873926,-0.17309835584001237,-0.16105371475612262,0.7072389493914157,0.7548764629388817,0.771353482260184,0.8570474281897128
warm,1465,0.011269295236043572,0.014928528641398264,0.036221974386041474,0.04295239371011017,0.08588522966732516,0.09678047309014526,0.18698749432599215,0.20564130936518898,-0.13935131057720018,-0.11859861803123573,0.6846416382252559,0.769283276450512,0.8688186813186813,0.9116179615110478
warm_recovery,370,0.00789715509309268,0.011802919266829415,0.033565363076576725,0.03288603210254715,0.07983295580953896,0.10420010999598883,0.18106415611725588,0.21293651364853572,-0.152784154522204,-0.1277891299412104,0.6126373626373627,0.7445054945054945,0.855457227138643,0.920265780730897
stress_low,212,0.02912509379083738,0.023663467669761795,0.04613427442968174,0.050336051007448646,0.10026351641692308,0.10984505017931312,0.23018835359414874,0.23843210423286543,-0.1735308411424633,-0.16461930908941402,0.6462264150943396,0.6507177033492823,0.6875,0.8798076923076923
recovery,91,-0.004857904189246191,-0.008446308485878462,0.06294679681516269,0.06590520685061596,0.13738089859926542,0.16762274927925036,0.31207790142731373,0.32825339389193786,-0.12862828457081502,-0.11123553549495768,0.425,0.953125,0.9423076923076923,0.9523809523809523
panic_low,59,0.07048753479433187,0.06934950509119764,0.17910859565560105,0.1576969644347328,0.21635736915896428,0.220483766011643,0.36183930805164344,0.35277638078061235,-0.14457801661076838,-0.12122849097525434,0.7627118644067796,0.9661016949152542,0.7796610169491526,0.9830508474576272
top_risk,41,-0.015199252456199417,-0.020448435006397925,-0.022172987807189157,-0.03553005464480885,0.06099713606046642,0.04766611751784722,0.16490818466588505,0.12473704441415934,-0.1185417265899629,-0.11859861803123573,0.3170731707317073,0.43902439024390244,0.9512195121951219,0.975609756097561
top_risk_watch,28,-0.004505964229578155,-0.018606508246831077,-0.02838810594167022,-0.042090516843983905,0.05535749516271577,0.07207634198034563,0.22187745166882258,0.25196405353253937,-0.13242111970324838,-0.10932022838962596,0.42857142857142855,0.21428571428571427,0.7142857142857143,1.0
overheated,23,-0.010249478239943797,-0.024144824522434494,-0.018437221038445015,-0.03600328201892011,0.09547079903298314,0.10913943009456117,0.2388872152789869,0.22881449514501484,-0.1068024309642636,-0.10455226248651395,0.30434782608695654,0.2608695652173913,0.8695652173913043,1.0
