date,market_regime,temperature_score,undervaluation_score,overheat_score,trend_score,volatility_score,sentiment_score,breadth_score,semiconductor_score,top_risk_score,recovery_score,confidence_score,dashboard_action,missing_inputs,ndx,sma,dist_sma,vxn,vix,vxn_pctile,vix_pctile,cnn_fear_greed,cnn_ma5,ndxe_ndx,ndxe_ma,sox_ndx,sox_ma,previous_market_regime,fwd_1m,fwd_3m,fwd_6m,fwd_12m,fwd_12m_mdd
2011-01-12,warm_recovery,74.63831468777869,0.0,49.27662937555739,90.21241481790682,83.31963845521774,58.0,48.91674154200233,68.79469716318927,38.04073048966572,57.056837325474895,70.82025092135223,normal_dca,,2304.88,1985.5112,0.1608496592716273,17.42,16.24,0.1668036154478225,0.2555464256368118,58.0,60.2,0.6304623234,0.631831196375,0.1909036479,0.18398766308125,recovery,0.032222935684287135,0.005097879282218498,0.008755336503418754,0.03345510395335105,-0.16105371475612262
2011-01-13,warm_recovery,74.43247631609553,0.0,48.86495263219107,89.9506373301034,83.07313064913721,58.0,48.75754958727902,67.68468498052667,37.89116488686428,55.88330803587627,70.37449808970611,normal_dca,,2305.53,1987.8642285714288,0.1598025493204136,17.45,16.39,0.1692686935086277,0.2588331963845521,58.0,59.0,0.6303886742,0.6319590297145833,0.1907674157,0.1842505884708333,recovery,0.03472954158046071,0.002480991355566786,0.022181450685959447,0.02882200621982789,-0.16105371475612262
2011-01-14,warm_recovery,78.31858391673376,0.0,56.63716783346753,91.80420664570828,91.61873459326212,60.0,49.04557400719107,76.54499097506424,43.43230186790958,68.29329630803001,74.40454977191999,normal_dca,,2323.43,1990.5727428571429,0.1672168265828331,16.49,15.46,0.0838126540673788,0.2300739523418241,60.0,58.4,0.6308647129,0.6320712433479166,0.1943635057,0.1845649555416666,recovery,0.025173988456721474,-0.006821810857223998,0.008857594160357918,0.030046095643079473,-0.16105371475612262
2011-01-18,warm_recovery,78.74718045204925,0.0,57.4943609040985,92.10944026938262,92.43421052631578,56.0,50.914908933772665,72.14899050578688,43.120770678073875,62.16380300852536,71.4748391730167,normal_dca,,2328.79,1993.0800574712644,0.1684377610775305,16.42,15.87,0.0756578947368421,0.2425986842105263,56.0,58.0,0.6335607762,0.632403592806383,0.1932033374,0.1850078626148936,recovery,0.029693531834128484,-0.01565190506657954,0.02979229556980245,0.04172553128448686,-0.16105371475612262
2011-01-27,warm_recovery,73.71213845644598,0.0,47.42427691289198,89.92735028750738,81.08552631578947,43.0,48.70776150388413,67.83270694571048,36.86044618078486,56.00100310947769,70.71559601668656,normal_dca,,2330.07,2009.1843678160917,0.1597094011500295,17.83,16.15,0.1891447368421052,0.2450657894736842,43.0,44.2,0.6313758814,0.6330118860553192,0.1936765848,0.187006906093617,recovery,0.008978271039067343,0.034260773281489465,0.01789645804632478,0.05652190706716964,-0.16105371475612262
2011-02-02,warm_recovery,69.11147830969372,0.0,38.22295661938745,87.20940459798271,71.6282894736842,46.0,49.63290962274348,70.20750894432466,29.03430784179711,62.72636111521402,75.5822711779688,normal_dca,,2321.09,2020.381264367816,0.1488376183919308,19.84,17.3,0.3018092105263157,0.2837171052631579,46.0,42.8,0.6325950308,0.6330598111297872,0.1955589831,0.1879624762595745,recovery,0.01674644240421519,0.028615865821661313,-0.0035802144682024473,0.075283595207424,-0.16105371475612262
2011-02-03,warm_recovery,69.69870452876728,0.0,39.397409057534574,87.07847038138762,73.4375,47.0,50.565173103796,69.05660025332679,29.54805679315093,62.51190960900225,75.2508775125441,normal_dca,,2323.07,2023.027011494253,0.1483138815255504,19.09,16.69,0.2664473684210526,0.265625,47.0,43.6,0.6337906305,0.6330750365333333,0.1952846879,0.1881150223354166,recovery,0.002152324295006114,0.022444437748324386,-0.049877963212473286,0.08871880744015459,-0.16105371475612262
2011-02-04,warm_recovery,73.03357265859489,0.0,46.067145317189784,88.54996096229107,80.92105263157895,49.0,51.0737769295609,75.61376437529883,34.55035898789234,71.45209448256782,77.94001345371755,normal_dca,,2338.2,2025.8190229885056,0.1541998438491643,17.91,15.93,0.1907894736842105,0.2360197368421052,49.0,44.8,0.6345180053,0.6331582638270833,0.1980626123,0.1884107929854166,recovery,-0.0002779916174834307,0.0192370199298606,-0.06150885296381825,0.08130185612864604,-0.16105371475612262
2011-02-07,warm_recovery,72.93813894937313,0.0,45.87627789874626,89.64323275299292,79.27631578947368,56.0,49.491974987080646,70.35602360235899,34.91523343697905,74.48257641078504,79.34190380510401,normal_dca,,2349.2,2027.666914285714,0.1585729310119716,18.22,16.28,0.2072368421052631,0.2458881578947368,56.0,47.8,0.6325770475,0.6332204311354167,0.1963434361,0.1886625956020833,recovery,-0.011284692661331364,0.017780521028435192,-0.12298229184403198,0.07783926443044442,-0.16105371475612262
2011-02-08,warm_recovery,74.77614097218614,0.0,49.552281944372275,90.98645362240194,82.73026315789474,56.0,48.441046013968545,66.17857508388809,38.72316544431066,65.61835332376725,74.6178026068208,normal_dca,,2363.61,2030.6873142857144,0.1639458144896077,17.68,15.81,0.1726973684210526,0.2294407894736842,56.0,50.8,0.6312462716,0.6332205951416666,0.1949983288,0.1888864999562499,recovery,-0.03355883584855379,0.02019791759215761,-0.08580941864351566,0.07704739783636039,-0.16105371475612262
